gene.name,BA1,BA2,PBA,BIO,BIOw1,BIOw2,MUT1,MUT2,MUT3
Bcam,1,1,0,0,0,0,0,0,0
Clptm1,0,0,0,0,0,0,0,0,0
Relb,0,0,0,0,0,0,0,0,0
Tomm40,0,0,0,0,0,0,0,0,0
Apoe,0,0,0,0,0,0,1,0,0
Apoc2,0,0,0,0,0,0,0,0,0
Hbp1,0,0,0,0,0,0,0,0,0
Prkar2b,1,0,0,0,0,0,0,0,0
Cdkn1b,0,0,0,0,0,0,0,0,0
Klf4,0,0,0,0,0,0,0,0,0
Ap1m1,0,0,0,0,0,0,0,0,0
Rab8a,0,0,0,0,0,0,0,0,0
Hmgn2,1,1,1,0,0,0,0,0,0
Fam32a,0,0,0,0,0,0,0,0,0
Elf3,1,1,1,0,0,0,0,0,0
Cyp2c29,0,0,0,0,0,0,0,0,0
Stard3nl,0,0,0,0,0,0,1,0,0
Stk11,0,0,0,0,0,0,1,0,0
Efna2,0,0,0,0,0,0,0,0,0
Atp5d,0,0,0,0,0,0,1,0,0
Ppp5c,0,0,0,0,0,0,0,0,0
Cdk12,0,0,0,0,0,0,0,0,0
Lipe,1,1,1,0,0,0,0,0,0
Pafah1b2,0,0,0,0,0,0,0,0,0
Tbc1d8,0,0,0,0,0,0,0,0,0
D1Bwg0212e,0,0,0,0,0,0,0,0,0
Slc2a3,0,0,0,0,0,0,0,0,0
Foxj2,0,0,0,0,0,0,0,0,0
Sri,0,0,0,0,0,0,0,0,0
Dgcr2,0,0,0,0,0,0,0,0,0
Mical3,0,0,0,0,0,0,0,0,0
Irf3,0,0,0,0,0,0,0,0,0
Bcl2l12,0,1,0,0,0,0,0,0,0
Zfp959,0,0,0,0,0,0,0,0,0
Mpnd,0,1,0,0,0,0,0,0,0
Sh3gl1,0,0,0,0,0,0,0,0,0
Ebi3,0,0,0,0,0,0,0,0,0
Ccdc94,0,0,0,0,0,0,0,0,0
Ranbp2,0,0,0,0,0,0,0,0,0
Edar,1,1,1,1,0,1,0,0,0
Grk5,0,0,0,0,0,0,0,0,0
Dvl3,0,0,0,0,0,0,0,0,0
Abcf3,0,0,0,0,0,0,0,0,0
Eif2b5,0,0,0,0,0,0,0,0,0
Cyth2,0,0,0,0,0,0,0,0,0
Sult2b1,0,0,0,0,0,0,0,0,0
Car11,1,1,1,0,0,0,0,0,0
Dlgap1,0,0,0,0,0,0,0,0,0
Plag1,1,1,1,0,0,0,0,0,0
Hck,0,0,0,0,0,0,0,0,0
Mrpl4,0,0,0,0,0,0,0,0,0
Keap1,0,0,0,0,0,0,0,0,0
Ap1m2,1,1,1,0,0,0,0,0,0
Glg1,0,0,0,0,0,0,0,0,0
Atp8b3,0,0,0,0,0,0,0,0,0
Btbd2,0,0,0,0,0,0,0,0,0
Csnk1g2,0,0,0,0,0,0,0,0,0
Fam108a,0,0,0,0,0,0,1,0,0
Mob3a,0,0,0,0,0,0,0,0,0
Cacnb3,0,0,0,0,0,0,0,0,0
Ccdc65,0,0,0,0,0,0,0,0,0
